IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.211,4,4,0.00,59.44,0.00,N/A
104.18.148.42,4,4,0.00,150.79,0.00,N/A
104.19.174.69,4,4,0.00,151.05,0.00,N/A
172.64.90.11,4,4,0.00,151.32,0.00,N/A
104.18.238.68,4,4,0.00,151.55,0.00,N/A
104.18.75.96,4,4,0.00,151.69,0.00,N/A
104.19.171.243,4,4,0.00,152.20,0.00,N/A
104.19.16.153,4,4,0.00,152.22,0.00,N/A
104.17.173.97,4,4,0.00,152.27,0.00,N/A
104.16.23.172,4,4,0.00,152.27,0.00,N/A
104.17.45.224,4,4,0.00,152.28,0.00,N/A
104.18.10.88,4,4,0.00,152.39,0.00,N/A
104.17.255.212,4,4,0.00,152.39,0.00,N/A
104.16.110.218,4,4,0.00,152.44,0.00,N/A
104.19.231.174,4,4,0.00,152.45,0.00,N/A
104.18.147.223,4,4,0.00,152.57,0.00,N/A
104.16.74.208,4,4,0.00,152.61,0.00,N/A
104.16.94.16,4,4,0.00,152.63,0.00,N/A
104.19.67.51,4,4,0.00,152.64,0.00,N/A
104.18.239.59,4,4,0.00,152.71,0.00,N/A
104.18.233.190,4,4,0.00,152.79,0.00,N/A
104.17.242.27,4,4,0.00,152.85,0.00,N/A
104.19.176.35,4,4,0.00,152.86,0.00,N/A
104.19.109.66,4,4,0.00,152.88,0.00,N/A
198.41.208.171,4,4,0.00,152.89,0.00,N/A
104.18.58.53,4,4,0.00,152.93,0.00,N/A
104.17.96.186,4,4,0.00,152.96,0.00,N/A
104.18.156.252,4,4,0.00,152.99,0.00,N/A
104.19.180.152,4,4,0.00,153.07,0.00,N/A
104.16.11.240,4,4,0.00,153.10,0.00,N/A
104.19.57.150,4,4,0.00,153.11,0.00,N/A
104.19.209.219,4,4,0.00,153.16,0.00,N/A
104.16.237.155,4,4,0.00,153.19,0.00,N/A
104.19.156.131,4,4,0.00,153.20,0.00,N/A
172.66.1.140,4,4,0.00,153.21,0.00,N/A
104.18.193.11,4,4,0.00,153.24,0.00,N/A
104.18.203.75,4,4,0.00,153.24,0.00,N/A
104.19.42.223,4,4,0.00,153.25,0.00,N/A
104.16.230.118,4,4,0.00,153.26,0.00,N/A
104.16.217.115,4,4,0.00,153.33,0.00,N/A
104.19.54.208,4,4,0.00,153.34,0.00,N/A
104.16.8.92,4,4,0.00,153.47,0.00,N/A
104.16.139.66,4,4,0.00,153.47,0.00,N/A
104.17.219.103,4,4,0.00,153.48,0.00,N/A
104.19.80.159,4,4,0.00,153.49,0.00,N/A
104.16.136.221,4,4,0.00,153.55,0.00,N/A
104.19.237.140,4,4,0.00,153.63,0.00,N/A
104.17.224.224,4,4,0.00,153.65,0.00,N/A
104.16.216.239,4,4,0.00,153.66,0.00,N/A
104.18.245.69,4,4,0.00,153.72,0.00,N/A
104.17.152.72,4,4,0.00,153.77,0.00,N/A
104.19.144.151,4,4,0.00,153.78,0.00,N/A
104.19.161.25,4,4,0.00,153.79,0.00,N/A
104.16.181.171,4,4,0.00,153.80,0.00,N/A
104.17.220.144,4,4,0.00,153.82,0.00,N/A
104.17.39.217,4,4,0.00,153.85,0.00,N/A
104.17.148.155,4,4,0.00,153.87,0.00,N/A
104.17.67.204,4,4,0.00,153.91,0.00,N/A
104.18.85.231,4,4,0.00,153.91,0.00,N/A
104.18.130.38,4,4,0.00,153.92,0.00,N/A
104.17.194.149,4,4,0.00,153.94,0.00,N/A
172.64.94.69,4,4,0.00,153.94,0.00,N/A
162.159.202.130,4,4,0.00,153.95,0.00,N/A
104.17.253.137,4,4,0.00,153.96,0.00,N/A
104.17.56.140,4,4,0.00,153.97,0.00,N/A
104.19.1.110,4,4,0.00,153.98,0.00,N/A
104.16.137.13,4,4,0.00,153.99,0.00,N/A
104.18.133.48,4,4,0.00,154.00,0.00,N/A
104.17.162.88,4,4,0.00,154.00,0.00,N/A
104.16.51.188,4,4,0.00,154.02,0.00,N/A
104.17.211.175,4,4,0.00,154.08,0.00,N/A
104.17.26.72,4,4,0.00,154.10,0.00,N/A
104.31.16.13,4,4,0.00,154.11,0.00,N/A
104.19.6.204,4,4,0.00,154.12,0.00,N/A
104.18.129.120,4,4,0.00,154.12,0.00,N/A
104.16.193.177,4,4,0.00,154.13,0.00,N/A
104.18.91.104,4,4,0.00,154.13,0.00,N/A
172.65.230.41,4,4,0.00,154.14,0.00,N/A
104.17.160.41,4,4,0.00,154.14,0.00,N/A
104.16.67.100,4,4,0.00,154.15,0.00,N/A
104.16.128.68,4,4,0.00,154.17,0.00,N/A
104.17.58.52,4,4,0.00,154.18,0.00,N/A
104.16.15.64,4,4,0.00,154.19,0.00,N/A
104.17.29.156,4,4,0.00,154.21,0.00,N/A
104.18.14.162,4,4,0.00,154.22,0.00,N/A
104.16.47.31,4,4,0.00,154.25,0.00,N/A
104.19.230.6,4,4,0.00,154.26,0.00,N/A
104.17.110.162,4,4,0.00,154.31,0.00,N/A
104.16.71.170,4,4,0.00,154.33,0.00,N/A
104.19.58.119,4,4,0.00,154.33,0.00,N/A
172.65.213.89,4,4,0.00,154.34,0.00,N/A
104.17.105.138,4,4,0.00,154.35,0.00,N/A
104.18.248.47,4,4,0.00,154.36,0.00,N/A
104.16.157.140,4,4,0.00,154.40,0.00,N/A
104.17.70.94,4,4,0.00,154.43,0.00,N/A
162.159.201.196,4,4,0.00,154.44,0.00,N/A
104.18.144.154,4,4,0.00,154.48,0.00,N/A
104.16.223.232,4,4,0.00,154.48,0.00,N/A
104.18.249.164,4,4,0.00,154.48,0.00,N/A
198.41.219.84,4,4,0.00,154.50,0.00,N/A
172.64.98.170,4,4,0.00,154.52,0.00,N/A
104.19.195.237,4,4,0.00,154.52,0.00,N/A
104.16.106.50,4,4,0.00,154.55,0.00,N/A
104.19.148.66,4,4,0.00,154.56,0.00,N/A
104.18.177.239,4,4,0.00,154.57,0.00,N/A
104.16.252.35,4,4,0.00,154.58,0.00,N/A
172.65.193.235,4,4,0.00,154.59,0.00,N/A
104.16.176.250,4,4,0.00,154.60,0.00,N/A
104.16.54.196,4,4,0.00,154.60,0.00,N/A
104.16.182.103,4,4,0.00,154.61,0.00,N/A
104.18.221.250,4,4,0.00,154.62,0.00,N/A
104.19.222.247,4,4,0.00,154.63,0.00,N/A
104.17.165.30,4,4,0.00,154.64,0.00,N/A
104.19.26.228,4,4,0.00,154.65,0.00,N/A
104.19.94.63,4,4,0.00,154.67,0.00,N/A
104.16.191.176,4,4,0.00,154.67,0.00,N/A
172.64.84.207,4,4,0.00,154.68,0.00,N/A
172.65.210.184,4,4,0.00,154.68,0.00,N/A
162.159.193.145,4,4,0.00,154.69,0.00,N/A
104.17.17.191,4,4,0.00,154.72,0.00,N/A
190.93.244.165,4,4,0.00,154.75,0.00,N/A
104.19.76.90,4,4,0.00,154.78,0.00,N/A
104.17.69.127,4,4,0.00,154.78,0.00,N/A
104.19.23.165,4,4,0.00,154.79,0.00,N/A
104.16.142.88,4,4,0.00,154.82,0.00,N/A
104.17.47.29,4,4,0.00,154.84,0.00,N/A
104.16.175.99,4,4,0.00,154.85,0.00,N/A
104.16.219.196,4,4,0.00,154.86,0.00,N/A
104.16.52.202,4,4,0.00,154.89,0.00,N/A
104.16.235.79,4,4,0.00,154.89,0.00,N/A
104.19.102.47,4,4,0.00,154.90,0.00,N/A
104.16.202.117,4,4,0.00,154.90,0.00,N/A
104.18.201.193,4,4,0.00,154.91,0.00,N/A
172.65.222.222,4,4,0.00,154.92,0.00,N/A
104.19.47.191,4,4,0.00,154.92,0.00,N/A
104.18.59.63,4,4,0.00,154.96,0.00,N/A
104.17.95.148,4,4,0.00,154.96,0.00,N/A
104.18.173.67,4,4,0.00,154.97,0.00,N/A
104.16.247.20,4,4,0.00,154.98,0.00,N/A
172.66.40.34,4,4,0.00,154.99,0.00,N/A
104.19.61.30,4,4,0.00,155.02,0.00,N/A
104.16.218.86,4,4,0.00,155.04,0.00,N/A
104.19.185.103,4,4,0.00,155.04,0.00,N/A
104.16.208.222,4,4,0.00,155.04,0.00,N/A
104.17.91.83,4,4,0.00,155.07,0.00,N/A
104.17.151.234,4,4,0.00,155.09,0.00,N/A
104.19.53.177,4,4,0.00,155.09,0.00,N/A
104.17.27.87,4,4,0.00,155.11,0.00,N/A
104.18.89.173,4,4,0.00,155.12,0.00,N/A
104.18.101.130,4,4,0.00,155.13,0.00,N/A
104.18.146.231,4,4,0.00,155.13,0.00,N/A
104.16.203.60,4,4,0.00,155.14,0.00,N/A
172.65.202.135,4,4,0.00,155.15,0.00,N/A
104.18.50.155,4,4,0.00,155.16,0.00,N/A
172.65.224.101,4,4,0.00,155.17,0.00,N/A
104.18.172.205,4,4,0.00,155.21,0.00,N/A
104.17.104.92,4,4,0.00,155.22,0.00,N/A
104.17.204.132,4,4,0.00,155.23,0.00,N/A
104.17.214.173,4,4,0.00,155.24,0.00,N/A
104.19.22.149,4,4,0.00,155.33,0.00,N/A
104.17.52.72,4,4,0.00,155.34,0.00,N/A
104.16.185.32,4,4,0.00,155.34,0.00,N/A
104.18.164.43,4,4,0.00,155.35,0.00,N/A
141.101.114.88,4,4,0.00,155.35,0.00,N/A
104.18.79.120,4,4,0.00,155.36,0.00,N/A
104.17.131.67,4,4,0.00,155.40,0.00,N/A
104.19.8.144,4,4,0.00,155.43,0.00,N/A
104.19.204.214,4,4,0.00,155.43,0.00,N/A
104.17.129.42,4,4,0.00,155.43,0.00,N/A
104.19.235.77,4,4,0.00,155.44,0.00,N/A
104.16.209.201,4,4,0.00,155.50,0.00,N/A
104.17.88.154,4,4,0.00,155.50,0.00,N/A
104.18.224.9,4,4,0.00,155.51,0.00,N/A
104.17.89.248,4,4,0.00,155.53,0.00,N/A
104.16.211.225,4,4,0.00,155.56,0.00,N/A
104.18.92.147,4,4,0.00,155.56,0.00,N/A
172.65.251.161,4,4,0.00,155.57,0.00,N/A
104.17.238.123,4,4,0.00,155.58,0.00,N/A
104.16.255.122,4,4,0.00,155.58,0.00,N/A
172.65.197.189,4,4,0.00,155.59,0.00,N/A
104.16.170.124,4,4,0.00,155.60,0.00,N/A
104.16.89.108,4,4,0.00,155.62,0.00,N/A
104.16.196.194,4,4,0.00,155.62,0.00,N/A
104.18.217.108,4,4,0.00,155.62,0.00,N/A
104.19.162.186,4,4,0.00,155.64,0.00,N/A
104.17.125.161,4,4,0.00,155.64,0.00,N/A
172.64.72.41,4,4,0.00,155.66,0.00,N/A
104.18.176.153,4,4,0.00,155.67,0.00,N/A
104.19.34.135,4,4,0.00,155.68,0.00,N/A
104.17.108.142,4,4,0.00,155.70,0.00,N/A
104.18.180.149,4,4,0.00,155.73,0.00,N/A
104.18.137.87,4,4,0.00,155.73,0.00,N/A
104.18.63.124,4,4,0.00,155.74,0.00,N/A
104.18.236.226,4,4,0.00,155.76,0.00,N/A
104.16.187.189,4,4,0.00,155.76,0.00,N/A
104.18.7.232,4,4,0.00,155.78,0.00,N/A
104.18.211.253,4,4,0.00,155.79,0.00,N/A
104.19.35.244,4,4,0.00,155.79,0.00,N/A
104.19.75.25,4,4,0.00,155.80,0.00,N/A
104.16.88.151,4,4,0.00,155.81,0.00,N/A
104.17.230.61,4,4,0.00,155.83,0.00,N/A
104.19.125.72,4,4,0.00,155.85,0.00,N/A
172.64.85.141,4,4,0.00,155.85,0.00,N/A
104.18.80.9,4,4,0.00,155.86,0.00,N/A
104.18.204.186,4,4,0.00,155.87,0.00,N/A
172.64.67.24,4,4,0.00,155.88,0.00,N/A
104.17.155.176,4,4,0.00,155.88,0.00,N/A
104.17.191.70,4,4,0.00,155.89,0.00,N/A
104.18.191.31,4,4,0.00,155.89,0.00,N/A
104.16.131.105,4,4,0.00,155.89,0.00,N/A
104.19.211.132,4,4,0.00,155.89,0.00,N/A
104.16.81.152,4,4,0.00,155.90,0.00,N/A
104.16.61.206,4,4,0.00,155.90,0.00,N/A
104.19.198.138,4,4,0.00,155.91,0.00,N/A
104.19.146.56,4,4,0.00,155.92,0.00,N/A
104.17.46.0,4,4,0.00,155.93,0.00,N/A
104.18.251.216,4,4,0.00,155.93,0.00,N/A
104.17.169.241,4,4,0.00,155.95,0.00,N/A
104.17.82.102,4,4,0.00,155.95,0.00,N/A
104.18.77.196,4,4,0.00,155.96,0.00,N/A
104.16.1.193,4,4,0.00,155.96,0.00,N/A
162.159.213.64,4,4,0.00,155.97,0.00,N/A
104.16.93.224,4,4,0.00,155.98,0.00,N/A
104.18.87.50,4,4,0.00,155.99,0.00,N/A
104.18.108.78,4,4,0.00,155.99,0.00,N/A
104.19.17.15,4,4,0.00,156.00,0.00,N/A
104.19.173.203,4,4,0.00,156.02,0.00,N/A
104.17.225.181,4,4,0.00,156.03,0.00,N/A
104.16.184.106,4,4,0.00,156.05,0.00,N/A
104.17.202.108,4,4,0.00,156.06,0.00,N/A
104.16.147.169,4,4,0.00,156.09,0.00,N/A
104.18.55.107,4,4,0.00,156.11,0.00,N/A
104.16.251.24,4,4,0.00,156.12,0.00,N/A
104.19.101.215,4,4,0.00,156.13,0.00,N/A
104.18.214.165,4,4,0.00,156.14,0.00,N/A
104.16.77.28,4,4,0.00,156.15,0.00,N/A
104.16.249.131,4,4,0.00,156.17,0.00,N/A
104.18.78.53,4,4,0.00,156.17,0.00,N/A
104.17.187.249,4,4,0.00,156.19,0.00,N/A
172.65.203.150,4,4,0.00,156.19,0.00,N/A
104.18.192.252,4,4,0.00,156.20,0.00,N/A
104.18.8.154,4,4,0.00,156.21,0.00,N/A
104.19.115.226,4,4,0.00,156.23,0.00,N/A
172.65.233.217,4,4,0.00,156.23,0.00,N/A
198.41.203.198,4,4,0.00,156.23,0.00,N/A
104.17.244.145,4,4,0.00,156.24,0.00,N/A
104.18.139.128,4,4,0.00,156.24,0.00,N/A
172.66.46.51,4,4,0.00,156.27,0.00,N/A
104.17.159.129,4,4,0.00,156.28,0.00,N/A
104.16.154.53,4,4,0.00,156.28,0.00,N/A
104.19.63.63,4,4,0.00,156.29,0.00,N/A
104.17.138.147,4,4,0.00,156.29,0.00,N/A
104.18.0.85,4,4,0.00,156.32,0.00,N/A
198.41.199.129,4,4,0.00,156.32,0.00,N/A
104.16.172.167,4,4,0.00,156.34,0.00,N/A
104.17.49.78,4,4,0.00,156.34,0.00,N/A
141.101.120.235,4,4,0.00,156.35,0.00,N/A
104.19.197.13,4,4,0.00,156.36,0.00,N/A
104.18.86.233,4,4,0.00,156.37,0.00,N/A
104.17.107.200,4,4,0.00,156.37,0.00,N/A
104.16.42.204,4,4,0.00,156.38,0.00,N/A
104.17.139.173,4,4,0.00,156.38,0.00,N/A
104.19.7.128,4,4,0.00,156.39,0.00,N/A
104.16.179.85,4,4,0.00,156.40,0.00,N/A
104.19.45.68,4,4,0.00,156.41,0.00,N/A
104.16.9.190,4,4,0.00,156.42,0.00,N/A
104.17.205.225,4,4,0.00,156.43,0.00,N/A
104.17.93.107,4,4,0.00,156.43,0.00,N/A
104.18.241.101,4,4,0.00,156.44,0.00,N/A
198.41.196.189,4,4,0.00,156.44,0.00,N/A
104.19.120.114,4,4,0.00,156.44,0.00,N/A
104.16.189.86,4,4,0.00,156.45,0.00,N/A
104.17.77.24,4,4,0.00,156.45,0.00,N/A
162.159.198.247,4,4,0.00,156.45,0.00,N/A
104.19.207.137,4,4,0.00,156.48,0.00,N/A
141.101.121.37,4,4,0.00,156.51,0.00,N/A
104.18.6.186,4,4,0.00,156.54,0.00,N/A
172.65.194.47,4,4,0.00,156.54,0.00,N/A
104.16.33.146,4,4,0.00,156.54,0.00,N/A
104.16.99.96,4,4,0.00,156.55,0.00,N/A
104.16.250.220,4,4,0.00,156.56,0.00,N/A
104.19.62.236,4,4,0.00,156.58,0.00,N/A
172.65.214.225,4,4,0.00,156.58,0.00,N/A
104.18.160.95,4,4,0.00,156.58,0.00,N/A
172.65.229.165,4,4,0.00,156.59,0.00,N/A
104.17.146.8,4,4,0.00,156.59,0.00,N/A
104.17.176.119,4,4,0.00,156.63,0.00,N/A
104.16.76.207,4,4,0.00,156.64,0.00,N/A
104.17.229.2,4,4,0.00,156.64,0.00,N/A
104.16.90.68,4,4,0.00,156.66,0.00,N/A
172.65.208.247,4,4,0.00,156.68,0.00,N/A
104.19.191.43,4,4,0.00,156.69,0.00,N/A
104.16.55.139,4,4,0.00,156.69,0.00,N/A
104.16.13.250,4,4,0.00,156.70,0.00,N/A
104.16.222.130,4,4,0.00,156.70,0.00,N/A
104.19.193.173,4,4,0.00,156.71,0.00,N/A
